"","nzreach","LENGTH","ORDER","CLIMATE","GEOLOGY","NET_POSN","DISTSEA","CATCHAREA"
"5942",12029188,3797.05627,1,"CX","SS","LO",32006.23,2777400
"5943",12029636,776.98485,1,"CX","Al","LO",45545.34,651600
"5944",12029638,1043.9697,2,"CX","Al","LO",6694.112,2740500
"5945",12029674,1485.80736,1,"CX","SS","LO",31780.63,1436400
"5946",12029780,2552.13203,2,"CX","Al","LO",91956.99,3531600
"5947",12029941,1838.52814,1,"CX","SS","LO",10461.17,1116000
"5948",12029977,724.26407,3,"CX","Al","MO",102812.4,8526600
"5949",12030035,2065.21861,1,"CX","Al","LO",8759.331,1809900
"5950",12030036,5743.5238,2,"CX","Al","LO",23500.06,7957800
"5951",12030065,766.69048,1,"CX","Al","LO",899.1169,660322.88
"5952",12030067,1586.10173,2,"CX","SS","LO",25422.19,8211600
"5953",12030069,579.41125,2,"CX","SS","LO",27857.7,5945400
"5954",12030076,1443.38095,1,"CX","Al","LO",28721.67,768600
"5955",12030109,1820.07143,1,"CX","SS","LO",29677.77,1321200
"5956",12030196,397.27922,6,"CX","Al","HO",41978,432352736
"5957",12030220,1760.95454,1,"CX","SS","LO",3698.894,1089000
"5958",12030280,1286.98485,6,"CX","Al","HO",44176.52,428319776
"5959",12030344,5634.3355,3,"CX","Al","MO",102666.3,8625600
"5960",12030404,1952.49783,1,"CX","SS","LO",27374.69,1174500
"5961",12030428,496.69048,4,"CX","Al","MO",96310.73,56838600
"5962",12030440,3894.3355,2,"CX","Al","LO",103952.4,5917500
"5963",12030558,3706.17316,2,"CX","Al","LO",48684.52,2978100
"5964",12030566,42.42641,5,"CX","HS","HO",44651.37,266939264
"5965",12030582,909.41125,2,"CX","SS","LO",8367.199,1296000
"5966",12030597,1408.23376,2,"CX","SS","LO",8866.021,4284000
"5967",12030768,2485.21861,1,"CX","Al","LO",49797.01,1965600
"5968",12030777,1133.9697,3,"CX","Al","MO",2460.366,5538600
"5969",12030842,1655.51299,1,"CX","Al","LO",11291.24,941400
"5970",12030850,976.69048,2,"CX","Al","LO",49200.54,1583100
"5971",12030868,2330.95454,3,"CX","Al","MO",8502.642,6464700
"5972",12030880,1478.52814,1,"CX","Al","LO",50478.11,962100
"5973",12030895,3911.02597,1,"CX","Al","LO",6631.097,1512900
"5974",12030999,2148.82251,5,"CX","Al","HO",9264.185,87327912
"5975",12031220,771.83766,3,"CX","Al","MO",63747.22,22422600
"5976",12031390,2412.79221,1,"CX","Al","LO",11796.98,756000
"5977",12031401,1509.41125,1,"CX","Al","LO",52714.8,537300
"5978",12031459,2477.93939,2,"CX","Al","LO",12591.54,1548900
"5979",12031564,1477.27922,1,"CX","Al","LO",53957.45,359100
"5980",12031574,2143.67532,2,"CX","Pl","LO",55031.78,4564800
"5981",12031593,569.11688,3,"CX","Al","MO",53669.36,9538200
"5982",12031609,764.55844,2,"CX","Al","LO",17228.59,793800
"5983",12031610,374.55844,2,"CX","Al","LO",16838.59,8550000
"5984",12031630,764.55844,3,"CX","Al","MO",61142.88,9595800
"5985",12031677,1976.10173,2,"CX","Al","LO",64844.79,2007000
"5986",12031691,487.27922,4,"CX","SS","MO",487.2792,41611416
"5987",12031764,1840.66017,2,"CX","SS","LO",5472.275,3544200
"5988",12031775,392.13203,2,"CX","Al","LO",15917.12,2983500
"5989",12031808,524.55844,3,"CX","Al","MO",60280.16,9124200
"5990",12031811,3384.3355,2,"CX","SS","LO",5604.701,2495700
"5991",12031821,1905.80736,2,"CX","SS","LO",2735.513,7284600
"5992",12031822,1628.52814,2,"CX","SS","LO",7100.803,1637100
"5993",12031876,826.69048,3,"CX","SS","MO",2018.528,20196000
"5994",12031925,1201.24892,2,"CX","SS","LO",8696.316,2727900
"5995",12032051,1076.10173,1,"CX","Al","LO",4565.879,492300
"5996",12032104,3034.62987,3,"CX","Pl","MO",58618.62,16672500
"5997",12032110,1176.3961,2,"CX","SS","LO",5772.275,3881700
"5998",12032120,2376.7619,2,"CX","Al","LO",21318.22,3780900
"5999",12032121,519.41125,2,"CX","Al","LO",56447.96,738000
"6000",12032179,831.83766,2,"CX","SS","LO",7441.097,2345400
"6001",12032185,2103.38095,3,"CX","Al","MO",15115.28,14572800
"6002",12032191,836.98485,2,"CX","SS","LO",6609.26,3032100
"6003",12032193,676.69048,1,"CX","Al","LO",57124.66,367200
"6004",12032205,776.98485,1,"CX","SS","LO",9007.494,797400
"6005",12032246,459.41125,2,"CX","Al","LO",5844.701,786600
"6006",12032332,741.83766,3,"CX","SS","MO",9608.743,9048600
"6007",12032371,506.98485,2,"CX","SS","LO",7303.523,3106800
"6008",12032391,2115.80736,2,"CX","Al","LO",2944.63,2299500
"6009",12032415,3738.30519,2,"CX","HS","LO",65102.73,7111800
"6010",12032417,1626.3961,2,"CX","SS","LO",12224.26,2442600
"6011",12032435,542.13203,2,"CX","SS","LO",10597.86,5455800
"6012",12032450,2177.93939,2,"CX","SS","LO",12233.67,2703600
"6013",12032496,526.69048,1,"CX","Al","LO",2254.63,415800
"6014",12032568,736.69048,3,"CX","Al","MO",14695.28,4464000
"6015",12032612,3633.74675,1,"CX","SS","LO",14231.61,2830500
"6016",12032644,1239.41125,3,"CX","Al","MO",18408.37,6750900
"6017",12032647,651.83766,3,"CX","Al","MO",66103.39,10974600
"6018",12032669,314.55844,1,"CX","Al","LO",5099.849,477000
"6019",12032710,2390.07143,3,"CX","Al","MO",2854.63,7267500
"6020",12032719,356.98485,2,"CX","Al","LO",5142.275,2247300
"6021",12032730,349.70563,1,"CX","Al","LO",5491.981,311400
"6022",12032788,2150.07143,1,"CX","Al","LO",7631.758,919800
"6023",12032790,3756.7619,1,"CX","Al","LO",64771.48,2010600
"6024",12032809,3172.20346,3,"CX","Al","MO",24811.01,9653400
"6025",12032910,2370.3658,1,"CX","Al","LO",64149.64,945900
